Tiêu đề,Giá,Diện tích,Địa chỉ,Mô tả,Link
"Cần bán nhanh mảnh đất Vạn 1 - Thanh Trì 42m- ngõ thông ô tô thông 3,15 tỷ","Giá:3,15 tỷ",Diện tích:42m²,",Xã Nam Phù,Hà Nội","Em cần bán nhanh mảnh đất Vạn 1- Thanh Trì-  42m mặt tiền 4,4m ngõ thông ô tô 
 - Dự án đường to mở rộng 
- Gần chợ, trường học, sân bóng, uỷ ban… 
- Lô đất có vị trí thoáng mát, ở thích, dân cư hiền lành, hàng xóm to......<< Xem chi tiết >>",https://alonhadat.com.vn/can-ban-nhanh-manh-dat-van-1-thanh-tri-42m-ngo-thong-o-to-thong-3-15-ty-17279977.html
Bán căn hộ tập thể khu VHNT Mai Dịch – Cầu Giấy – 65m² – 2 phòng ngủ – Giá nhỉnh 4 tỷ,"Giá:4,35 tỷ",Diện tích:65m²,"Phố Doãn Kế Thiện,Phường Phú Diễn,Hà Nội","Căn hộ tập thể tầng 2 khu Văn hóa Nghệ thuật Mai Dịch, nhà còn rất mới, kết cấu chắc chắn, không hề “đeo ba lô”, dọn về ở ngay.
🔹 Thông tin chi tiết:
	•	Diện tích: 65m²
	•	Thiết kế: 2 phòng ngủ, 1 vệ sinh, phòng khác......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-can-ho-tap-the-khu-vhnt-mai-dich-cau-giay-65m-2-phong-ngu-gia-nhinh-4-ty-17431408.html
💚BIỆT THỰ PHẠM HÙNG-MỸ ĐÌNH-LÔ GÓC MẶT TIỀN: 22.5m-KHU AN NINH-GẦN SÂN VẬN ĐỘNG MỸ ĐÌNH,"Giá:40,8 tỷ",Diện tích:143m²,"Đường Phạm Hùng,Phường Từ Liêm,Hà Nội","💚BIỆT THỰ PHẠM HÙNG-MỸ ĐÌNH-LÔ GÓC MẶT TIỀN: 22.5m-KHU VỰC AN NINH-GẦN SÂN VẬN ĐỘNG MỸ ĐÌNH                                   Diện tích: 143m2, xây 4 tầng, lô góc mặt tiền: 22.5m, giá: 40.8 tỷ (có thương lượng)         ......<< Xem chi tiết >>",https://alonhadat.com.vn/-biet-thu-pham-hung-my-dinh-lo-goc-mat-tien-22-5m-khu-an-ninh-gan-san-van-dong-my-dinh-17431535.html
💚TẬP THỂ VĨNH PHÚC khu 72ha-BA ĐÌNH-LÔ GÓC SÁNG THOÁNG-3PN 2WC-125M2-Ô TÔ ĐỖ-KHU SẠCH ĐẸP,"Giá:5,8 tỷ",Diện tích:125m²,"Đường Hoàng Hoa Thám,Phường Ba Đình,Hà Nội","💚TẬP THỂ VĨNH PHÚC khu 72ha-BA ĐÌNH-LÔ GÓC SÁNG THOÁNG-3 PN 2WC-125M2-Ô TÔ ĐỖ-KHU SẠCH ĐẸP                          Diện tích sổ: 76m2, thực tế: 125m2, giá: 5.8 tỷ (có thương lượng)               Nhà thoáng mát, 3 phòng......<< Xem chi tiết >>",https://alonhadat.com.vn/-tap-the-vinh-phuc-khu-72ha-ba-dinh-lo-goc-sang-thoang-3pn-2wc-125m2-o-to-do-khu-sach-dep-17432233.html
CHÚ Ý : RẺ VÔ ĐỊCH- CHỦ CẦN BÁN NHÀ MẶT TỀN PHỐ CÙ CHÍNH LAN - 34M2 - 4 TẦNG - CHỈ 12 TỶ,Giá:12 tỷ,Diện tích:24m²,"Phố Cù Chính Lan,Phường Phương Liệt,Hà Nội","HIẾM MẶT PHỐ KINH DOANH - TRUNG TÂM THANH XUÂN - 
Mô Tả : 
- Nhà Mp kinh doanh các mặt hàng , tuyến phố thông các ngả
- Nhà dân xây ở vừa kinh doanh vô cùng hợp lí
- Tầm tiền phân khúc nhiều khách hàng quan tâm
Thiế......<< Xem chi tiết >>",https://alonhadat.com.vn/nhanh-thi-con-chinh-chu-ban-nha-nguyen-chinh-30m2-4-tang-so-do-17246355.html
Giá tốt nhất Phố Vương thừa Vũ 153t/m2- 90 m2- 4 Tầng - Mt 7.8m- Chỉ 13.8 Tỷ,"Giá:13,8 tỷ",Diện tích:90m²,"Phố Vương Thừa Vũ,Phường Phương Liệt,Hà Nội","🏘 TRUNG TÂM THANH XUÂN - BÁN ĐẤT,BÁN VỊ TRÍ TẶNG NHÀ 3 TẦNG CHO THUÊ KHAI THÁC DÒNG TIỀN. Ô TÔ ĐỖ CỔNG- NGÕ NGÁCH THOÁNG RỘNG SẠCH SẼ - KHU DÂN CƯ ĐÔNG ĐÚC SẦM UẤT.

+Nhà phù hợp cho khách mua đầu tư xây lại tòa nhà C......<< Xem chi tiết >>",https://alonhadat.com.vn/gia-tot-nhat-pho-vuong-thua-vu-153t-m2-90-m2-4-tang-mt-7-8m-chi-13-8-ty-17374509.html
SIÊU PHẨM CHUNG CƯ MINH KHAI-VỊ TRÍ ĐẮC ĐỊA-LÔ GÓC 100m2- 4 MẶT THOÁNG-CHỈ HƠN 7tỷ,"Giá:7,75 tỷ",Diện tích:100m²,"Đường Minh Khai,Phường Vĩnh Tuy,Hà Nội","SIÊU PHẨM CHUNG CƯ MINH KHAI-VỊ TRÍ ĐẮC ĐỊA-LÔ GÓC 100m2- 4 MẶT THOÁNG-HOA HẬU ĐẸP KO TÌ VẾT-CHỈ HƠN 7tỷ

Căn hộ 100m2, đc thiết kế 4 ngủ, 2wc, 2 ban công cực chill, vị trí đắc địa, hàng xóm hưởng trọn mọi tiện ích Tim......<< Xem chi tiết >>",https://alonhadat.com.vn/sieu-pham-chung-cu-minh-khai-vi-tri-dac-dia-lo-goc-4-mat-thoang-gia-tot-17181172.html
"BÁN NHÀ 5 TẦNG XÂY MỚI ĐẸP ĐƯỜNG DƯƠNG VĂN BÉ, HAI BÀ TRƯNG, DT31M2, MT 4M , GIÁ 6,8 TỶ.","Giá:6,8 tỷ",Diện tích:31m²,"Đường Dương Văn Bé,Phường Vĩnh Tuy,Hà Nội","+ Cần bán nhà 5 tầng xây mới đẹp đường Dương Văn Bé, Hai Bà Trưng, diện tích 31m2, mt 4m, giá 6,8 tỷ, có thương lượng.
+ Nhà xây mới tinh tổng có 3 phòng ngủ khép kín, 4wc, phòng khách phòng thờ sân phơi đầy đủ, đã  tra......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-nha-5-tang-xay-moi-dep-duong-duong-van-be-hai-ba-trung-dt31m2-mt-4m-gia-6-8-ty--17042835.html
"Siêu hot: Đất Hoà Lạc 100m2 – Mặt tiền 5.5m, gần ĐH FPT, ĐHQG, đón Metro 5 cuối năm","Giá:25,494 triệu / m²",Diện tích:100m²,"Đường Phú Cát,Xã Phú Cát,Hà Nội","Bạn đang tìm kiếm một mảnh đất vừa để ở, vừa để đầu tư lâu dài? Đừng bỏ lỡ lô đất 100m2 tại Phú Cát, Hoà Lạc.

📍 Lợi thế vàng:

Trung tâm khu CNC Hoà Lạc là khu công nghệ cao hàng đầu Việt Nam, nơi quy tụ nhiều tập ......<< Xem chi tiết >>",https://alonhadat.com.vn/sieu-hot-dat-hoa-lac-100m2-mat-tien-5-5m-gan-dh-fpt-dhqg-don-metro-5-cuoi-nam-17407089.html
Đấu giá Đỗ Động đối diện chung cư kinh doanh,"Giá:7,7 tỷ",Diện tích:83m²,"Đường Âu Cơ,Xã Thanh Oai,Hà Nội","Cuối tuần E Còn duy nhất 2 ô đấu giá đỗ động Thanh Oai  trục chính nhìn chung cư nói không vs hố ga bốt điện
Oto tải tránh. Kinh doanh tương lai bất chấp
Tài chính 7.x tỷ 
👉 Đầu tư đấu giá vtri đẹp sát đại dự án, sát......<< Xem chi tiết >>",https://alonhadat.com.vn/dau-gia-do-dong-doi-dien-chung-cu-kinh-doanh-17427851.html
CHUNG CƯ PACKEXIM – AN DƯƠNG VƯƠNG – 134M² – 9.4 TỶ,"Giá:9,4 tỷ",Diện tích:134m²,"Đường An Dương Vương,Phường Phú Thượng,Hà Nội","💐 CĂN HỘ 3 NGỦ – THIẾT KẾ KIẾN TRÚC SƯ – FULL NỘI THẤT ĐIỆN TỬ NHẬP KHẨU – Ở NGAY 💐

✨ Thông tin căn hộ:

Diện tích 134m², thiết kế 3PN, khách, bếp, 2 logia, 2WC.

Cửa chính Đông Nam, ban công Bắc, cực thoáng sán......<< Xem chi tiết >>",https://alonhadat.com.vn/chung-cu-packexim-an-duong-vuong-134m-9-4-ty-17432214.html
"Siêu Hiếm, Lô Góc - Vỉa hè đá bóng - mặt phố oto tránh -kinh doanh 40m2 5 tầng 7.5 tỷ (","Giá:7,5 tỷ",Diện tích:40m²,"Phố Gia Quất,Phường Việt Hưng,Hà Nội","-Bán nhà đẹp Gia Quất về ở ngay, Lô góc đường oto tải tránh nhau 40m2 nhỉnh 7 tỷ (có ythương lượng)
Nhà dân xây để ở, rất kiên cố sạch sẽ,vỉa hè có thể đã bóng, oto đỗ ngày đêm k ảnh hưởng diện tích 40m2 thiết kế 5 tầng......<< Xem chi tiết >>",https://alonhadat.com.vn/sieu-hiem-lo-goc-via-he-da-bong-mat-pho-oto-tranh-kinh-doanh-40m2-5-tang-7-5-ty--15504569.html
"Mặt phố Đồng Cổ, 199m2, mặt tiền 9.5m, toà văn phòng, khách sạn, 89 tỷ",Giá:89 tỷ,Diện tích:199m²,"Đường Đồng Cổ,Phường Tây Hồ,Hà Nội","MẶT PHỐ ĐỒNG CỔ - THỬA ĐẤT SIÊU ĐẸP - 200 MÉT VUÔNG - MẶT TIỀN GẦN 10 MÉT - NÓI KHÔNG VỚI QUY HOẠCH - ĐẦU TƯ XÂY APARTMENT - BUILDING - KHÁCH SẠN

- Vị trí cực đẹp, tuyến phố mới quận Tây Hồ cực tiềm năng, vỉa hè rộng,......<< Xem chi tiết >>",https://alonhadat.com.vn/mat-pho-dong-co-199m2-mat-tien-9-5m-toa-van-phong-khach-san-89-ty-17389846.html
Lô góc 3 Tầng La Khê - 75m2 - Oto đỗ cổng ngày đêm - chỉ quanh 8 tỷ,"Giá:8,2 tỷ",Diện tích:75m²,"Đường Ngô Đình Mẫn,Phường Dương Nội,Hà Nội","🌇 Lô Góc La Khê – 75m²  – 3 Tầng – 8.x Tỷ
🚗 Oto đỗ cổng ngày đêm
🏡 Nhà dân xây kiên cố, thiết kế hợp lý, ánh sáng tự nhiên tràn ngập
🌸 Khu dân trí cao, an ninh đảm bảo, hàng xóm văn minh
📍 Vị trí hiếm, hưởng trọ......<< Xem chi tiết >>",https://alonhadat.com.vn/lo-goc-3-tang-la-khe-75m2-oto-do-cong-ngay-dem-chi-quanh-8-ty-17403729.html
"ĐẠI CÁT – 34M² – 5 TẦNG – MT 4.2M – LÔ GÓC, Ô TÔ ĐỖ CỬA, BÃI XE GẦN NHÀ – 5.9 TỶ","Giá:5,9 tỷ",Diện tích:34m²,"Đường Đại Cát,Phường Thượng Cát,Hà Nội","🏡 LÔ GÓC HAI THOÁNG VĨNH VIỄN – Ô TÔ ĐỖ CỬA – NHÀ MỚI Ở NGAY

📍 Vị trí:

Ngõ thông, ô tô tránh chỉ 30m, bãi gửi xe cách 50m.

Lô góc 2 mặt thoáng, ánh sáng tự nhiên tràn ngập.

🏠 Nhà mới tinh, thiết kế ưu việt......<< Xem chi tiết >>",https://alonhadat.com.vn/dai-cat-34m-5-tang-mt-4-2m-lo-goc-o-to-do-cua-bai-xe-gan-nha-5-9-ty-17432152.html
CẦU GIẤY – 30/32M² – 5 TẦNG – MT 3.5M – 7.9 TỶ,"Giá:7,9 tỷ",Diện tích:32m²,"Đường Cầu Giấy,Phường Yên Hòa,Hà Nội","🌹 TRUNG TÂM CẦU GIẤY – NGÕ THÔNG THOÁNG – NHÀ ĐẸP Ở NGAY – PHÂN KHÚC HOT DƯỚI 8 TỶ 🌹

📍 Vị trí:

Khu trung tâm Cầu Giấy, ngõ thông thoáng, dân trí cao.

Nhà thoáng sáng, yên tĩnh, ở ngay.

Tầm tiền dưới 8 tỷ c......<< Xem chi tiết >>",https://alonhadat.com.vn/cau-giay-30-32m-5-tang-mt-3-5m-7-9-ty-17429837.html
"ĐỨC DIỄN – 34M² – 5 TẦNG – NGÕ THÔNG, Ô TÔ ĐỖ CỬA – 6.95 TỶ","Giá:6,95 tỷ",Diện tích:34m²,"Đường Đức Diễn,Phường Phú Diễn,Hà Nội","🚙 Ô TÔ ĐỖ CỬA – NGÕ THÔNG – NHÀ MỚI – 2 MẶT THOÁNG 🚙

📍 Vị trí đẹp:

Đầu phố Đức Diễn giao Văn Tiến Dũng.

Gần chợ Đức Diễn, hồ Đức Diễn, bãi đỗ xe, ngõ thông đi lại cực tiện.

🏡 Thiết kế:

T1: Phòng khách ......<< Xem chi tiết >>",https://alonhadat.com.vn/duc-dien-34m-5-tang-ngo-thong-o-to-do-cua-6-95-ty-17423395.html
CHUNG CƯ TRẦN QUÝ KIÊN – 76M² – 2PN – 6.3 TỶ,"Giá:6,3 tỷ",Diện tích:76m²,"Phố Trần Quý Kiên,Phường Cầu Giấy,Hà Nội","🍁 HỘ KHẨU TRUNG TÂM CẦU GIẤY – 2 THANG MÁY – TIỆN ÍCH NGẬP TRÀN 🍁

📍 Vị trí vàng:

Ngay trung tâm Dịch Vọng – Cầu Giấy.

Kết nối trục Xuân Thủy – Cầu Giấy – Nguyễn Phong Sắc – Nguyễn Văn Huyên – Trần Quốc Hoàn.......<< Xem chi tiết >>",https://alonhadat.com.vn/chung-cu-tran-quy-kien-76m-2pn-6-3-ty-17423302.html
5 TẦNG MỚI CỨNG - LÔ GÓC CỰC THOÁNG SÁNG TẠI NAM DƯ LĨNH NAM,"Giá:7,69 tỷ",Diện tích:37m²,"Đường Nam Dư,Phường Lĩnh Nam,Hà Nội","5 TẦNG MỚI CỨNG VỪA XÂY XONG THƠM PHỨC MÙI SƠN TẠI NAM DƯ LĨNH NAM

- Nhà 5 tầng, dt 37m, 3pn cực rộng, thoáng

- Nhà nằm vị trí đẹp, lô góc cực kỳ thoáng sáng, cách ô tô tránh đỗ chỉ 50m chợ , trường gần nhà cực tiệ......<< Xem chi tiết >>",https://alonhadat.com.vn/5-tang-moi-cung-lo-goc-cuc-thoang-sang-tai-nam-du-linh-nam-17432166.html
ngay cầu Trần Hưng Đạo 55m 5 Tầng Ô TÔ đối diện CV nhỉnh 8 tỷ,"Giá:8,4 tỷ",Diện tích:55m²,"Đường Bát Khối,Phường Long Biên,Hà Nội","Chủ nhà cần bán gấp nhà 5 tầng ở Tư Đình ngay gần cầu Trần Hưng Đạo - đầu tư tốt
+ Vị trí đắc địa: ngõ vào nhà rộng, Ô TÔ THÔNG, sát cầu Trần Hưng Đạo, đối diện khu đất Công Viên
+ Nhà xây 4 tầng, dân xây chắc chắn, cầ......<< Xem chi tiết >>",https://alonhadat.com.vn/ngay-cau-tran-hung-dao-55m-5-tang-o-to-doi-dien-cv-nhinh-8-ty-17387351.html
"Thạch Bàn nhà mới 5Tầng ngõ rộng ngay chợ, trường C1,2,3 gần Hồ chỉ nhỉnh 5 tỷ","Giá:5,2 tỷ",Diện tích:33m²,"Đường Thạch Bàn,Phường Long Biên,Hà Nội","Cần bán gấp nhà 5 tầng mới ngay khu vực trung tâm tiện ích Thạch Bàn: chợ; trường học cấp 1,2,3; hồ điều hòa, công viên chỉ vài bước chân ..
+ Nhà xây đẹp, chắc chắn thiết kế hiện đại cầu thang cuối với 3PN đủ công năng......<< Xem chi tiết >>",https://alonhadat.com.vn/thach-ban-nha-moi-5tang-ngo-rong-ngay-cho-truong-c1-2-3-gan-ho-chi-nhinh-5-ty-17383529.html
"Thạch Bàn 35m 5 Tầng xây ĐỘC LẬP, ngõ nông vài bước Ô TÔ TRÁN chỉ 5tỷ4H","Giá:5,4 tỷ",Diện tích:35m²,"Đường Thạch Bàn,Phường Long Biên,Hà Nội","Chủ nhà nhờ bán căn nhà xây mới độc lập khu vực trung tâm thạch bàn
+ Ngõ vào nhà 2,2m 30m ra trục ngõ chính ô tô tránh.
+ Nhà ở khu vực trung tâm gần chợ, trường học các cấp
+ Nhà xây mới thiết kế hiện đại với 3PN đủ......<< Xem chi tiết >>",https://alonhadat.com.vn/thach-ban-35m-5-tang-xay-doc-lap-ngo-nong-vai-buoc-o-to-tran-chi-5ty4h-17422965.html
"Bán Đất Chương Dương, Thường Tín 68m, mặt tiền 5m, ô tô qua đất vào đất, giá 2,4 tỷ.","Giá:2,4 tỷ",Diện tích:68m²,"Đường Vĩnh Lộc,Xã Chương Dương,Hà Nội","🌟 CHÍNH CHỦ BÁN GẤP ĐẤT ĐẸP CHƯƠNG DƯƠNG – GIÁ ĐẦU TƯ 🌟

🏡 Vị trí: Thư Dương, Chương Dương – Thường Tín – Hà Nội
📐 Diện tích: 68m² – chỉ 2,4 tỷ
🚗 Đường rộng ô tô vào đất, qua đất.

📍 Vị trí trung tâm – Tiện í......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-dat-ky-duong-chuong-duong-thuong-tin-75m-o-to-16-cho-vao-dat-gia-chi-3-x-ty-17316703.html
"Hiếm bán, nhà mặt phố Ngô Gia Tự, 6Tx100m2, Long Biên, 26.2tỷ","Giá:26,2 tỷ",Diện tích:100m²,"Đường Ngô Gia Tự,Phường Việt Hưng,Hà Nội","MẶT PHỐ - VỈA HÈ ĐÁ BÓNG - KINH DOANH TỐT.

Chú em nhờ bán nhà mặt phố Ngô Gia Tự, diện tích 100m2, xây 6 tầng, vỉa hè đá bóng.

+ Nhà nằm trên vị đẹp, di chuyển thuận tiện đi các tỉnh, Bắc Ninh, Sân Bay, Cao tốc Hà ......<< Xem chi tiết >>",https://alonhadat.com.vn/hiem-ban-nha-mat-pho-ngo-gia-tu-6tx100m2-long-bien-26-5-ty-17384111.html
"BÁN NHÀ MẶT PHỐ CỔ HÀNG BÔNG, 185M2×5T, MT 8M, 139 TỶ",Giá:139 tỷ,Diện tích:185m²,"Phố Hàng Bông,Phường Hoàn Kiếm,Hà Nội","BÁN NHÀ MẶT PHỐ CỔ HÀNG BÔNG – VỊ TRÍ KINH DOANH ĐỈNH CAO – DOANH THU 250 TRIỆU/THÁNG
•	Diện tích: 185m² × 5 tầng
•	Mặt tiền: gần 8m – Hiếm tại Phố cổ.
✨ Vị trí vàng trung tâm phố cổ, khu vực kinh doanh sầm uất bậc nh......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-nha-mat-pho-co-hang-bong-185m2-5t-mt-8m-139-ty-17415590.html
"BÁN NHÀ MẶT PHỐ NGUYỄN THÁI HỌC - BA ĐÌNH, 250M2 × 3T, MT 7M, 110 TỶ",Giá:110 tỷ,Diện tích:250m²,"Phố Nguyễn Thái Học,Phường Ba Đình,Hà Nội","BÁN NHÀ MẶT PHỐ NGUYỄN THÁI HỌC – VỈA HÈ KINH DOANH Ô TÔ DỪNG ĐỖ 
•	Diện tích: 250m² × 3 tầng
•	Mặt tiền: 7m vuông vắn
✨ Vị trí đắc địa trên tuyến phố huyết mạch Nguyễn Thái Học, trung tâm quận Ba Đình – nơi tập trung......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-nha-mat-pho-nguyen-thai-hoc-ba-dinh-250m2-3t-mt-7m-110-ty-17422199.html
CCMN DÒNG TIỀN 130T/ THÁNG YÊN NGHĨA 6 TẦNG 34 PHÒNG GIÁ 23 TỶ,Giá:23 tỷ,Diện tích:215m²,"Đường Quang Trung,Phường Yên Nghĩa,Hà Nội","BÁN CHUNG CƯ MINI 6 TẦNG – 34 PHÒNG – YÊN NGHĨA, HÀ ĐÔNG
Chính chủ cần bán tòa chung cư mini 6 tầng, gồm 34 phòng khép kín đang cho thuê ổn định, tổng diện tích đất 215m². Vị trí trung tâm Yên Nghĩa – Hà Đông, khu đông ......<< Xem chi tiết >>",https://alonhadat.com.vn/sieu-pham-chung-cu-mini-yen-nghia-6-tang-34-phong-gia-23-ty-16929152.html
"💥Duy nhất đất dt 41m2 _ HoàiĐức_Ql32_💰3,3 tỷ(Tl)_🚘20 ô tô đỗ","Giá:3,3 tỷ",Diện tích:41m²,"Đường Đức Thượng,Xã Hoài Đức,Hà Nội","💥Duy nhất đất dt 41m2 _ #HoàiĐức_Ql32_💰3,3 tỷ(có thương lượng)_🚘20 ô tô đỗ 
🌳📍Diện tích 41m2,mặt tiền 3,6m ĐứcThượng ,Hoài Đức ,cách QL 32 khoảng 500m 
🌳📍Gần chợ trường trạm,đô thị Tân Tây Đô,Tân Việt
📕Sổ đỏ c......<< Xem chi tiết >>",https://alonhadat.com.vn/-duy-nhat-dat-dt-41m2-hoaiduc-ql32-3-3-ty-tl-20-o-to-do-17432048.html
"Sốc 29.5 tỷ, 8 tầng CCMN Kim Giang, dòng 1.5 tỷ/năm, oto vào, kdoanh, xịn xò, sổ 120m2","Giá:29,5 tỷ",Diện tích:120m²,"Đường Kim Giang,Phường Khương Đình,Hà Nội","Mô tả:
⭐ Toà CCMN 8 tầng thang máy xây cực kỳ tâm huyết đẹp Kim Giang, oto qua nhà, 10m ra oto tránh. 50m ra Mặt Phố. Ngõ thông kdoanh, gần ĐH Thăng Long, KĐT Linh Đàm - Đại Kim. Doanh thu khủng 120 tr/tháng.
⭐ Sổ đỏ 1......<< Xem chi tiết >>",https://alonhadat.com.vn/soc-29-5-ty-8-tang-ccmn-kim-giang-dong-1-5-ty-nam-oto-vao-kdoanh-xin-xo-so-120m2-16537030.html
"Nhà đẹp 339 Minh Khai, ngõ thông thoáng, sổ 57m2 x 5 ngủ hai thoáng full đồ. Giá 10.5 tỷ","Giá:10,5 tỷ",Diện tích:57m²,"Đường Minh Khai,Phường Bạch Mai,Hà Nội","Mô tả:
💥 Chính chủ cần bán nhà đẹp ngõ 349 Minh Khai, ngõ ba gác tránh xe máy kết nối 559 Minh Khai. Thoáng hai mặt trước sau. Lõi quận Hai Bà Trưng. Đầu ngõ vào có Tiểu học Võ Thị Sáu. Đối diện bên kia Timecity 
💥 D......<< Xem chi tiết >>",https://alonhadat.com.vn/nha-dep-339-minh-khai-ngo-thong-thoang-so-57m2-x-5-ngu-hai-thoang-full-do-gia-11-ty-16633824.html
"Oto vào nhà, 15m ra Phố Thượng Thụy, hạ tầng phát triển, 40m2, nhà đẹp, 5 ngủ. Giá 10.9 tỷ","Giá:10,9 tỷ",Diện tích:40m²,"Đường Thượng Thụy,Phường Phú Thượng,Hà Nội","Mô tả:
💥 Cách mặt Phố Thượng Thụy 15m. Ngõ oto qua thông vào nhà. Kết nối An Dương Vương - Võ Chí Công. 150m ra dự án thấp tầng Nam Thăng Long. Hạ tầng đồng bộ. 5ph là Sân bay Nội Bài và Lotte Mart.
💥 Diện tích đất 4......<< Xem chi tiết >>",https://alonhadat.com.vn/oto-vao-nha-15m-ra-pho-thuong-thuy-ha-tang-phat-trien-40m2-nha-dep-5-ngu-gia-11-1-ty-16650669.html
"Mặt Ngõ 34 Âu Cơ thông thoáng, 97m2 x mtiền 5.1m vuông đét, Gần Phố Apartment. Giá 20 tỷ",Giá:20 tỷ,Diện tích:97m²,"Đường Âu Cơ,Phường Hồng Hà,Hà Nội","Mô tả:
🌺 Mặt ngõ 34 Âu Cơ, oto con đi qua ngõ thoáng rộng kết nối ngõ 28 Tứ Liên. Khu vực Tây nhiều hơn Ta phù hợp xây toà nhà Apartment cho thuê. Hưởng không khí mát mẻ gió Sông Hồng, bên kia là Từ Hoa - Yên Phụ - Quả......<< Xem chi tiết >>",https://alonhadat.com.vn/mat-ngo-34-au-co-thong-thoang-97m2-x-mtien-5-1m-vuong-det-gan-pho-apartment-gia-20-ty-17429418.html
"Lô góc đẹp oto tránh plo vip ngõ 19 Trần Quang Diệu 7 tầng thang máy, mtiền 6m.Giá 32.5 tỷ","Giá:32,5 tỷ",Diện tích:50m²,"Phố Trần Quang Diệu,Phường Ô Chợ Dừa,Hà Nội","Mô tả:
🌺 Quá vip luôn, phân lô oto tránh đỗ vào nhà ngõ 19 Trần Quang Diệu nằm sát sau lưng Quận ủy Đống Đa thông oto chạy vòng quanh ra Công viên 1/6, Phố Võ Chí Công. Hồ Hoàng Cầu cách 150m. Khu vực sống lý tưởng tru......<< Xem chi tiết >>",https://alonhadat.com.vn/lo-goc-dep-oto-tranh-plo-vip-ngo-19-tran-quang-dieu-7-tang-thang-may-mtien-6m-gia-32-5-ty-17427731.html
"7 tầng thang máy xây mới mặt ngõ vip Trần Quốc Hoàn, oto tránh,đa kdoanh,45m2.Giá 24.5 tỷ","Giá:24,5 tỷ",Diện tích:45m²,"Phố Trần Quốc Hoàn,Phường Cầu Giấy,Hà Nội","Mô tả:
🌺 Quá hiếm, vị trí mặt ngõ oto tránh đỗ vào nhà phân lô Trần Quốc Hoàn, Q.Cầu Giấy. Khu cán bộ ngõ thông bàn cờ quy hoạch hạ tầng đẹp . Cách Phố 60m, ra ngã ba Phạm Văn Đồng 100m. Sau lưng của ĐH Sư Phạm, Quốc G......<< Xem chi tiết >>",https://alonhadat.com.vn/7-tang-thang-may-xay-moi-mat-ngo-vip-tran-quoc-hoan-oto-tranh-da-kdoanh-45m2-gia-24-5-ty-17427705.html
"6 tầng thang máy mới mặt ngõ Trần Duy Hưng, kdoanh tốt, gần Phố, oto, 50m2. Giá 22.5 tỷ","Giá:22,5 tỷ",Diện tích:50m²,"Đường Trần Duy Hưng,Phường Yên Hòa,Hà Nội","Mô tả:
🌺 Vị trí vip, 6 tầng thang máy oto vào nhà mặt ngõ Trần Duy Hưng trước nhà ngõ 3.5m. Từ nhà ra Phố cách 50m khu vực thông tứ tung nối các ngõ 162, 148, 204 Trần Duy Hưng ra Nguyễn Chánh - Trung Kính. Kinh doanh ......<< Xem chi tiết >>",https://alonhadat.com.vn/6-tang-thang-may-moi-mat-ngo-tran-duy-hung-kdoanh-tot-gan-pho-oto-50m2-gia-22-5-ty-17427716.html
"7 tầng thang máy ngõ 299 Hoàng Mai, full nội thất xịn, 50m2 kdoanh. Giá 18.8 tỷ","Giá:18,8 tỷ",Diện tích:50m²,"Đường Hoàng Mai,Phường Vĩnh Tuy,Hà Nội","Mô tả:
🌺 Siêu phẩm 7 tầng thang máy ngõ 299 Hoàng Mai, oto tránh vỉa hè. Cạnh KĐT Đền Lừ, ngõ thông tứ tung ra Mai Đông - Tam Trinh - Tân Mai. Văn phòng CTY cho thuê tuyệt vời.
🌺 Sổ đỏ 50m2 x 7 tầng x mặt tiền 4.2m
......<< Xem chi tiết >>",https://alonhadat.com.vn/7-tang-thang-may-ngo-299-hoang-mai-full-noi-that-xin-50m2-kdoanh-gia-18-8-ty-17427763.html
"Ngõ vip Tây Sơn 6 tầng thang máy xịn xò, oto tránh đỗ 20m, 50m2 + VP. Giá 19 tỷ",Giá:19 tỷ,Diện tích:50m²,"Phố Tây Sơn,Phường Đống Đa,Hà Nội","Mô tả:
🌺 Ngõ lãnh đạo vip Phố Tây Sơn, 50m ra Phố, chỉ có chục gia đình ở có bảo vệ 24/24h. Oto đỗ 12 cái cách nhà 20m. Gần Phố nhưng yên tĩnh. 100m ra Ngã ba Thái Thịnh. Văn phòng CTY tuyệt vời. Đi đâu thuận lợi.
🌺 ......<< Xem chi tiết >>",https://alonhadat.com.vn/ngo-vip-tay-son-6-tang-thang-may-xin-xo-oto-tranh-do-20m-50m2-vp-gia-19-ty-17427781.html
